nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 07/100 | Train Acc: 3.46% | Val Acc: 2.69%
Epoch 08/100 | Train Acc: 3.82% | Val Acc: 3.92%
Epoch 09/100 | Train Acc: 4.05% | Val Acc: 3.62%
Epoch 10/100 | Train Acc: 3.70% | Val Acc: 3.69%
Epoch 11/100 | Train Acc: 3.93% | Val Acc: 3.46%
Epoch 12/100 | Train Acc: 4.40% | Val Acc: 4.08%
Epoch 13/100 | Train Acc: 5.08% | Val Acc: 4.77%
Epoch 14/100 | Train Acc: 5.37% | Val Acc: 4.54%
Epoch 15/100 | Train Acc: 6.27% | Val Acc: 5.08%
Epoch 16/100 | Train Acc: 6.97% | Val Acc: 5.69%
Epoch 17/100 | Train Acc: 7.83% | Val Acc: 7.46%
Epoch 18/100 | Train Acc: 9.59% | Val Acc: 10.15%
Epoch 19/100 | Train Acc: 12.03% | Val Acc: 13.46%
Epoch 20/100 | Train Acc: 15.77% | Val Acc: 16.62%
Epoch 21/100 | Train Acc: 19.20% | Val Acc: 20.69%
Epoch 22/100 | Train Acc: 22.72% | Val Acc: 23.31%
Epoch 23/100 | Train Acc: 25.69% | Val Acc: 23.54%
Epoch 24/100 | Train Acc: 27.43% | Val Acc: 26.46%
Epoch 25/100 | Train Acc: 29.40% | Val Acc: 29.08%
Epoch 26/100 | Train Acc: 31.05% | Val Acc: 27.77%
Epoch 27/100 | Train Acc: 32.57% | Val Acc: 29.23%
Epoch 28/100 | Train Acc: 33.54% | Val Acc: 32.46%
Epoch 29/100 | Train Acc: 35.14% | Val Acc: 33.54%
Epoch 30/100 | Train Acc: 35.99% | Val Acc: 33.69%
Epoch 31/100 | Train Acc: 37.25% | Val Acc: 35.08%
Epoch 32/100 | Train Acc: 38.48% | Val Acc: 35.77%
Epoch 33/100 | Train Acc: 39.45% | Val Acc: 38.00%
Epoch 34/100 | Train Acc: 41.17% | Val Acc: 38.23%
Epoch 35/100 | Train Acc: 42.29% | Val Acc: 39.69%
Epoch 36/100 | Train Acc: 43.99% | Val Acc: 40.46%
Epoch 37/100 | Train Acc: 45.11% | Val Acc: 42.62%
Epoch 38/100 | Train Acc: 45.91% | Val Acc: 44.31%
Epoch 39/100 | Train Acc: 47.45% | Val Acc: 45.00%
Epoch 40/100 | Train Acc: 48.26% | Val Acc: 44.92%
Epoch 41/100 | Train Acc: 49.34% | Val Acc: 46.92%
Epoch 42/100 | Train Acc: 50.46% | Val Acc: 47.15%
Epoch 43/100 | Train Acc: 51.46% | Val Acc: 49.38%
Epoch 44/100 | Train Acc: 52.04% | Val Acc: 49.46%
Epoch 45/100 | Train Acc: 53.39% | Val Acc: 50.92%
Epoch 46/100 | Train Acc: 53.88% | Val Acc: 51.85%
Epoch 47/100 | Train Acc: 55.06% | Val Acc: 51.54%
Epoch 48/100 | Train Acc: 55.56% | Val Acc: 53.31%
Epoch 49/100 | Train Acc: 56.24% | Val Acc: 54.85%
Epoch 50/100 | Train Acc: 57.17% | Val Acc: 55.38%
Epoch 51/100 | Train Acc: 58.15% | Val Acc: 55.23%
Epoch 52/100 | Train Acc: 59.17% | Val Acc: 56.31%
Epoch 53/100 | Train Acc: 59.85% | Val Acc: 57.08%
Epoch 54/100 | Train Acc: 60.32% | Val Acc: 57.77%
Epoch 55/100 | Train Acc: 61.39% | Val Acc: 58.00%
Epoch 56/100 | Train Acc: 61.53% | Val Acc: 58.62%
Epoch 57/100 | Train Acc: 62.61% | Val Acc: 60.69%
Epoch 58/100 | Train Acc: 63.34% | Val Acc: 60.08%
Epoch 59/100 | Train Acc: 64.20% | Val Acc: 60.62%
Epoch 60/100 | Train Acc: 64.26% | Val Acc: 60.38%
Epoch 61/100 | Train Acc: 65.70% | Val Acc: 62.31%
Epoch 62/100 | Train Acc: 66.35% | Val Acc: 63.62%
Epoch 63/100 | Train Acc: 66.82% | Val Acc: 65.46%
Epoch 64/100 | Train Acc: 67.43% | Val Acc: 64.92%
Epoch 65/100 | Train Acc: 67.96% | Val Acc: 64.62%
Epoch 66/100 | Train Acc: 68.76% | Val Acc: 66.69%
Epoch 67/100 | Train Acc: 69.58% | Val Acc: 67.00%
Epoch 68/100 | Train Acc: 69.86% | Val Acc: 65.92%
Epoch 69/100 | Train Acc: 70.38% | Val Acc: 67.54%
Epoch 70/100 | Train Acc: 71.14% | Val Acc: 68.85%
Epoch 71/100 | Train Acc: 71.44% | Val Acc: 68.77%
Epoch 72/100 | Train Acc: 72.26% | Val Acc: 69.69%
Epoch 73/100 | Train Acc: 73.03% | Val Acc: 69.08%
Epoch 74/100 | Train Acc: 73.15% | Val Acc: 70.92%
Epoch 75/100 | Train Acc: 73.66% | Val Acc: 72.08%
Epoch 76/100 | Train Acc: 74.45% | Val Acc: 72.31%
Epoch 77/100 | Train Acc: 74.75% | Val Acc: 73.00%
Epoch 78/100 | Train Acc: 75.10% | Val Acc: 73.15%
Epoch 79/100 | Train Acc: 76.09% | Val Acc: 73.00%
Epoch 80/100 | Train Acc: 76.63% | Val Acc: 73.46%
Epoch 81/100 | Train Acc: 77.08% | Val Acc: 74.69%
Epoch 82/100 | Train Acc: 77.04% | Val Acc: 75.38%
Epoch 83/100 | Train Acc: 77.70% | Val Acc: 75.15%
Epoch 84/100 | Train Acc: 78.07% | Val Acc: 76.85%
Epoch 85/100 | Train Acc: 78.76% | Val Acc: 75.92%
Epoch 86/100 | Train Acc: 78.77% | Val Acc: 76.54%
Epoch 87/100 | Train Acc: 79.12% | Val Acc: 76.85%
Epoch 88/100 | Train Acc: 79.88% | Val Acc: 78.23%
Epoch 89/100 | Train Acc: 79.91% | Val Acc: 78.62%
Epoch 90/100 | Train Acc: 80.37% | Val Acc: 78.54%
Epoch 91/100 | Train Acc: 80.88% | Val Acc: 80.23%
Epoch 92/100 | Train Acc: 81.34% | Val Acc: 79.62%
Epoch 93/100 | Train Acc: 81.54% | Val Acc: 79.46%
Epoch 94/100 | Train Acc: 81.91% | Val Acc: 80.38%
Epoch 95/100 | Train Acc: 82.37% | Val Acc: 80.46%
Epoch 96/100 | Train Acc: 82.65% | Val Acc: 81.00%
Epoch 97/100 | Train Acc: 83.15% | Val Acc: 82.00%
Epoch 98/100 | Train Acc: 83.09% | Val Acc: 82.08%
Epoch 99/100 | Train Acc: 83.69% | Val Acc: 81.62%
Epoch 100/100 | Train Acc: 83.68% | Val Acc: 83.54%
[TCASL RESULTS] Top-1 Test Acc: 82.38%

Training ASL_DVS (359447 samples, 24 classes)...
Epoch 01/100 | Train Acc: 24.63% | Val Acc: 37.51%
Epoch 02/100 | Train Acc: 45.51% | Val Acc: 52.57%
Epoch 03/100 | Train Acc: 57.83% | Val Acc: 62.19%
Epoch 04/100 | Train Acc: 66.19% | Val Acc: 69.33%
